CITY 1,CITY 2,PASSENGERS TO CITY 2,CITY 1 ID,CITY 2 ID,lat1,long1,lat2,long2
AJMER,INDORE,451,6,49,26.4499,74.6399,22.7196,75.8577
AJMER,SURAT,1893,6,111,26.4499,74.6399,21.1702,72.8311
ALLAHABAD,BENGALURU,55169,7,14,25.4358,81.8463,12.9716,77.5946
ALLAHABAD,BHOPAL,9517,7,17,25.4358,81.8463,23.2599,77.4126
ALLAHABAD,BHUBANESWAR,20561,7,18,25.4358,81.8463,20.2961,85.8245
ALLAHABAD,BILASPUR,7304,7,22,25.4358,81.8463,22.0807,82.15
ALLAHABAD,DEHRA DUN,6256,7,30,25.4358,81.8463,30.3165,78.0322
ALLAHABAD,DEHRADUN,11649,7,31,25.4358,81.8463,30.3165,78.0322
ALLAHABAD,DELHI,72045,7,32,25.4358,81.8463,28.6139,77.209
ALLAHABAD,GORAKHPUR,2690,7,43,25.4358,81.8463,26.7606,83.3732
ALLAHABAD,INDORE,14494,7,49,25.4358,81.8463,22.7196,75.8577
ALLAHABAD,JAIPUR,32,7,53,25.4358,81.8463,26.9124,75.7873
ALLAHABAD,KOLKATA,125,7,72,25.4358,81.8463,22.5726,88.3639
ALLAHABAD,LUCKNOW,14624,7,79,25.4358,81.8463,26.8467,80.9462
ALLAHABAD,MUMBAI,59955,7,85,25.4358,81.8463,19.076,72.8777
ALLAHABAD,PUNE,22831,7,95,25.4358,81.8463,18.5204,73.8567
ALLAHABAD,RAIPUR,17149,7,96,25.4358,81.8463,21.2514,81.6296
ALLAHABAD,VARANASI,208,7,122,25.4358,81.8463,25.3176,82.9739
AMRITSAR,BENGALURU,30900,8,14,31.7055,74.8023,12.9716,77.5946
AMRITSAR,CHANDIGARH,0,8,23,31.7055,74.8023,30.7333,76.7794
AMRITSAR,CHENNAI,1852,8,24,31.7055,74.8023,13.0827,80.2707
AMRITSAR,DABOLIM,7969,8,28,31.7055,74.8023,15.3801,73.8341
AMRITSAR,DELHI,505291,8,32,31.7055,74.8023,28.6139,77.209
AMRITSAR,GOA,9391,8,41,31.7055,74.8023,15.2993,74.124
AMRITSAR,GUWAHATI,1089,8,44,31.7055,74.8023,26.1445,91.7362
AMRITSAR,HYDERABAD,7961,8,47,31.7055,74.8023,17.385,78.4867
AMRITSAR,JAIPUR,8699,8,53,31.7055,74.8023,26.9124,75.7873
AMRITSAR,KOLKATA,46238,8,72,31.7055,74.8023,22.5726,88.3639
AMRITSAR,KULLU,772,8,74,31.7055,74.8023,31.9566,77.1095
AMRITSAR,LUCKNOW,30373,8,79,31.7055,74.8023,26.8467,80.9462
AMRITSAR,MUMBAI,159429,8,85,31.7055,74.8023,19.076,72.8777
AMRITSAR,PATNA,12674,8,92,31.7055,74.8023,25.5941,85.1376
AMRITSAR,PUNE,55007,8,95,31.7055,74.8023,18.5204,73.8567
AMRITSAR,SIMLA,254,8,108,31.7055,74.8023,31.1048,77.1734
AMRITSAR,SRINAGAR,66015,8,110,31.7055,74.8023,34.0837,74.7973
AURANGABAD,BENGALURU,19069,9,14,19.8762,75.3433,12.9716,77.5946
AURANGABAD,DELHI,107777,9,32,19.8762,75.3433,28.6139,77.209
AURANGABAD,HYDERABAD,47420,9,47,19.8762,75.3433,17.385,78.4867
AURANGABAD,MUMBAI,133705,9,85,19.8762,75.3433,19.076,72.8777
BAGDOGRA,BENGALURU,269982,11,14,26.6831,88.3285,12.9716,77.5946
BAGDOGRA,CHENNAI,67368,11,24,26.6831,88.3285,13.0827,80.2707
BAGDOGRA,DELHI,531880,11,32,26.6831,88.3285,28.6139,77.209
BAGDOGRA,DIBRUGARH,29240,11,35,26.6831,88.3285,27.4728,94.9119
BAGDOGRA,GUWAHATI,42088,11,44,26.6831,88.3285,26.1445,91.7362
BAGDOGRA,HYDERABAD,90151,11,47,26.6831,88.3285,17.385,78.4867
BAGDOGRA,JAIPUR,8,11,53,26.6831,88.3285,26.9124,75.7873
